# Command: for N in 25000 50000 100000 200000 400000; do SLATE_WA_NOPS=$N ./target/release/wa_study_paper > /tmp/conv_$N.csv; done  (binary built by: cargo build --release -p slate-kv-sim --bin wa_study_paper)
# Steady-state convergence check: does wa_steady depend on run length? Aggregated over seeds {1,2,3} at fixed capacity cap_ref_segs=64, seg_recs=64.
# Largest |relative change| from n_ops=200000 to 400000 across all 80 (u,s,arm) configs is reported in the task output; it is well under 1%.
# Platform: macOS 26.5.2 / arm64 / 12 cores / 24 GiB. Pure in-process GC model - not the SLATE engine, no flash backend.
n_ops,u_target,s,gc_type,wa_steady_mean,wa_steady_std,realized_u,n_seeds
200000,0.7,0.9,hot_cold_extra2,2.0662,0.00218,0.6787,3
400000,0.7,0.9,hot_cold_extra2,2.0673,0.00147,0.6787,3
25000,0.8,0.9,hot_cold_extra2,2.9033,0.01326,0.7758,3
50000,0.8,0.9,hot_cold_extra2,2.9009,0.00376,0.7758,3
100000,0.8,0.9,hot_cold_extra2,2.8997,0.00908,0.7758,3
200000,0.8,0.9,hot_cold_extra2,2.9068,0.00477,0.7758,3
400000,0.8,0.9,hot_cold_extra2,2.902,0.00327,0.7758,3
25000,0.9,0.9,hot_cold_extra2,5.0465,0.02152,0.8726,3
50000,0.9,0.9,hot_cold_extra2,5.0073,0.0215,0.8726,3
100000,0.9,0.9,hot_cold_extra2,5.0154,0.0156,0.8726,3
200000,0.9,0.9,hot_cold_extra2,5.0109,0.00633,0.8726,3
400000,0.9,0.9,hot_cold_extra2,5.0104,0.00538,0.8726,3
25000,0.5,1.2,hot_cold_extra2,1.3923,0.00331,0.4848,3
50000,0.5,1.2,hot_cold_extra2,1.4482,0.00092,0.4848,3
100000,0.5,1.2,hot_cold_extra2,1.4398,0.00309,0.4848,3
200000,0.5,1.2,hot_cold_extra2,1.4394,0.00306,0.4848,3
400000,0.5,1.2,hot_cold_extra2,1.4383,0.00172,0.4848,3
25000,0.6,1.2,hot_cold_extra2,1.6374,0.01057,0.5819,3
50000,0.6,1.2,hot_cold_extra2,1.6754,0.0075,0.5819,3
100000,0.6,1.2,hot_cold_extra2,1.6723,0.00222,0.5819,3
200000,0.6,1.2,hot_cold_extra2,1.6748,0.00703,0.5819,3
400000,0.6,1.2,hot_cold_extra2,1.6753,0.00081,0.5819,3
25000,0.7,1.2,hot_cold_extra2,1.9371,0.01426,0.6787,3
50000,0.7,1.2,hot_cold_extra2,1.9704,0.01124,0.6787,3
100000,0.7,1.2,hot_cold_extra2,1.971,0.00387,0.6787,3
200000,0.7,1.2,hot_cold_extra2,1.9708,0.00228,0.6787,3
400000,0.7,1.2,hot_cold_extra2,1.9661,0.00225,0.6787,3
25000,0.8,1.2,hot_cold_extra2,2.4313,0.00329,0.7758,3
50000,0.8,1.2,hot_cold_extra2,2.4175,0.02485,0.7758,3
100000,0.8,1.2,hot_cold_extra2,2.4119,0.00525,0.7758,3
200000,0.8,1.2,hot_cold_extra2,2.4157,0.0039,0.7758,3
400000,0.8,1.2,hot_cold_extra2,2.4124,0.00289,0.7758,3
25000,0.9,1.2,hot_cold_extra2,3.5648,0.03105,0.8726,3
50000,0.9,1.2,hot_cold_extra2,3.5831,0.01025,0.8726,3
100000,0.9,1.2,hot_cold_extra2,3.5873,0.01167,0.8726,3
200000,0.9,1.2,hot_cold_extra2,3.5621,0.02002,0.8726,3
400000,0.9,1.2,hot_cold_extra2,3.5556,0.003,0.8726,3
25000,0.5,0.0,hot_cold_net,1.2686,0.0025,0.4923,3
50000,0.5,0.0,hot_cold_net,1.2667,0.0014,0.4923,3
100000,0.5,0.0,hot_cold_net,1.2699,0.00195,0.4923,3
200000,0.5,0.0,hot_cold_net,1.2674,0.00159,0.4923,3
400000,0.5,0.0,hot_cold_net,1.2665,0.00061,0.4923,3
25000,0.6,0.0,hot_cold_net,1.5091,0.00169,0.5909,3
50000,0.6,0.0,hot_cold_net,1.5105,0.00162,0.5909,3
100000,0.6,0.0,hot_cold_net,1.5117,0.00323,0.5909,3
200000,0.6,0.0,hot_cold_net,1.509,0.00158,0.5909,3
400000,0.6,0.0,hot_cold_net,1.5094,0.0003,0.5909,3
25000,0.7,0.0,hot_cold_net,1.9431,0.00776,0.6892,3
50000,0.7,0.0,hot_cold_net,1.95,0.00312,0.6892,3
100000,0.7,0.0,hot_cold_net,1.9502,0.00457,0.6892,3
200000,0.7,0.0,hot_cold_net,1.948,0.00448,0.6892,3
400000,0.7,0.0,hot_cold_net,1.9471,0.00119,0.6892,3
25000,0.8,0.0,hot_cold_net,2.8827,0.01324,0.7877,3
50000,0.8,0.0,hot_cold_net,2.8876,0.0129,0.7877,3
100000,0.8,0.0,hot_cold_net,2.8894,0.00886,0.7877,3
