# SLATE paper measurement: partial-key cuckoo index cost (load factor, bytes/key, probes, fingerprint collisions, stash)
# cmd=cargo run --release -p slate-kv-core --example paper_index
# source=crates/slate-kv-core/examples/paper_index.rs (added this session)
# constants (crates/slate-kv-core/src/config.rs @ HEAD 970324f): BUCKET_SLOTS=4 STASH_SIZE=8 FP_BITS=8 OFF_BITS=24
#   MAX_KICKS=500 N_BUCKETS=2048 (compile-time default) MAX_INDEX_SLOTS=65536
# platform=macOS 26.5.2 / arm64 / 12 cores / 24 GiB. Pure in-RAM computation on the real Index type: NO flash, NO
#   simulator, NO device. Byte counts are u32-slot arithmetic and so are identical on the 32-bit targets; the
#   load-factor / probe / collision counts are hardware-independent.
# 8 RNG seeds x 7 table sizes x 2 key families = 112 rows. Each row: fill to first insertion failure, then refill a
#   fresh table to floor(0.95*capacity) and measure every stored key plus 200000 absent keys.
# KEY FAMILIES matter and are NOT interchangeable: fingerprint() is the top byte of FNV-1a, whose high bits are
#   mixed only through the multiply chain. key_family=sequential (tag|seed|little-endian ordinal, i.e. what an
#   application writing sensor_%06d keys produces) leaves the high ordinal bytes constant and yields a SKEWED
#   fingerprint distribution -- its collision rate is not comparable to the uniform 2b*2^-f bound and one seed
#   (seed=13) reaches 0.177 at n_buckets=16384. key_family=mixed passes the ordinal through a SplitMix64 bijection
#   first and is the uniform population the bound assumes. Compare the bound against key_family=mixed.
# bounds: probes_bound = 2*BUCKET_SLOTS + STASH_SIZE = 16 (candidates() scans both buckets and the whole stash
#   unconditionally, so probes are EXACTLY 16 for every lookup -- mean = max = worst case, not a bound that is
#   merely respected). fp_bound_2b = 2b*2^-f = 0.03125. fp_bound_realized_occupancy and
#   fp_bound_measured_distribution recompute that bound using the MEASURED occupied-slot count and the MEASURED
#   fingerprint histograms respectively; they are the honest comparators.
# fp_rate_present counts lookups of a STORED key whose candidate set contains an offset belonging to a different
#   key; fp_rate_absent counts lookups of a never-inserted key returning any candidate at all. Both come with
#   Wilson 95% intervals (fp_ci_lo_*/fp_ci_hi_*).
# index_ram_bytes = arena_bytes + size_of::<Index>() measured on riscv32imc (80 B); the arena is the dominant term.
# See ram_working_set.csv for the full engine working set and the 64 KiB budget arithmetic.
key_family,n_buckets,n_slots,arena_bytes,stash_ram_bytes,index_ram_bytes,seed,table_capacity,keys_at_first_failure,alpha_at_failure,stash_occ_at_failure,arena_bytes_per_key_at_failure,index_bytes_per_key_at_failure,alpha095_target_keys,alpha095_all_inserted,keys_at_alpha095,stash_occ_at_alpha095,arena_bytes_per_key_at_alpha095,lookups_total,probes_mean,probes_max,probes_bound,cand_mean_present,cand_max_present,fp_lookups_present,fp_hits_present,fp_rate_present,fp_ci_lo_present,fp_ci_hi_present,fp_extra_per_lookup_present,fp_lookups_absent,fp_hits_absent,fp_rate_absent,fp_ci_lo_absent,fp_ci_hi_absent,fp_extra_per_lookup_absent,occupied_slots_per_absent_lookup,fp_bound_2b,fp_bound_realized_occupancy,fp_distinct_stored,fp_distinct_absent,fp_match_prob_measured,fp_bound_measured_distribution
sequential,1024,4096,16384,64,16480,34,4096,4081,0.996338,8,4.0147,4.0382,3891,1,3891,0,4.2107,203891,16.0,16,16,1.018504,2,3891,72,0.01850424,0.01472021,0.02323806,0.018504,200000,6193,0.030965,0.03021479,0.03173322,0.03121,7.601465,0.03125,0.02931315,250,255,0.00393613,0.02953448
sequential,2048,8192,32768,64,32864,1,8192,8163,0.99646,8,4.0142,4.026,7782,1,7782,0,4.2107,207782,16.0,16,16,1.009509,2,7782,74,0.00950912,0.00758187,0.01192038,0.009509,200000,5931,0.029655,0.02892055,0.03040752,0.029785,7.60209,0.03125,0.02931553,255,255,0.0039319,0.02950555
sequential,2048,8192,32768,64,32864,2,8192,8143,0.994019,8,4.0241,4.0359,7782,1,7782,0,4.2107,207782,16.0,16,16,1.016962,2,7782,132,0.01696222,0.01432238,0.02007871,0.016962,200000,5412,0.02706,0.02635792,0.02778025,0.027265,7.59924,0.03125,0.0293047,255,255,0.00393928,0.02954926
sequential,2048,8192,32768,64,32864,3,8192,8134,0.99292,8,4.0285,4.0403,7782,1,7782,0,4.2107,207782,16.0,16,16,1.015934,2,7782,124,0.01593421,0.01338135,0.01896473,0.015934,200000,5292,0.02646,0.02576564,0.02717255,0.02665,7.598535,0.03125,0.02930202,255,255,0.00393268,0.02949773
sequential,2048,8192,32768,64,32864,5,8192,8135,0.993042,8,4.028,4.0398,7782,1,7782,0,4.2107,207782,16.0,16,16,1.014649,2,7782,114,0.01464919,0.01220925,0.01756807,0.014649,200000,5657,0.028285,0.02756744,0.02902069,0.02851,7.60048,0.03125,0.02930941,255,255,0.00393209,0.02950077
sequential,2048,8192,32768,64,32864,8,8192,8153,0.995239,8,4.0191,4.0309,7782,1,7782,0,4.2107,207782,16.0,16,16,1.014135,2,7782,110,0.01413518,0.01174184,0.01700797,0.014135,200000,6332,0.03166,0.03090158,0.03243641,0.031895,7.60047,0.03125,0.02930937,255,255,0.00394068,0.02956432
sequential,2048,8192,32768,64,32864,13,8192,8131,0.992554,8,4.03,4.0418,7782,1,7782,0,4.2107,207782,16.0,16,16,1.016705,2,7782,130,0.01670522,0.01408686,0.01980048,0.016705,200000,7467,0.037335,0.03651299,0.03817479,0.03772,7.601945,0.03125,0.02931498,255,255,0.00394089,0.02957157
sequential,2048,8192,32768,64,32864,21,8192,8131,0.992554,8,4.03,4.0418,7782,1,7782,0,4.2107,207782,16.0,16,16,1.012336,2,7782,96,0.01233616,0.01011316,0.01504037,0.012336,200000,5588,0.02794,0.02722676,0.02867138,0.02814,7.59982,0.03125,0.0293069,255,255,0.00393087,0.02948919
sequential,2048,8192,32768,64,32864,34,8192,8125,0.991821,8,4.033,4.0448,7782,1,7782,0,4.2107,207782,16.0,16,16,1.015677,2,7782,122,0.0156772,0.01314654,0.01868579,0.015677,200000,5543,0.027715,0.02700459,0.02844355,0.02789,7.60077,0.03125,0.02931051,255,255,0.00393661,0.02953538
sequential,4096,16384,65536,64,65632,1,16384,16267,0.992859,8,4.0288,4.0347,15564,1,15564,0,4.2107,215564,16.0,16,16,1.01375,2,15564,214,0.01374968,0.01203648,0.01570285,0.01375,200000,5178,0.02589,0.02520306,0.02659515,0.02605,7.60033,0.03125,0.02930884,255,255,0.00393512,0.02952264
sequential,4096,16384,65536,64,65632,2,16384,16254,0.992065,8,4.032,4.0379,15564,1,15564,0,4.2107,215564,16.0,16,16,1.015549,2,15564,242,0.0155487,0.0137211,0.01761539,0.015549,200000,7521,0.037605,0.0367801,0.03844766,0.037945,7.6003,0.03125,0.02930873,255,255,0.00393857,0.02954809
sequential,4096,16384,65536,64,65632,3,16384,16265,0.992737,8,4.0293,4.0352,15564,1,15564,0,4.2107,215564,16.0,16,16,1.013878,2,15564,216,0.01387818,0.01215656,0.01583971,0.013878,200000,7411,0.037055,0.03623599,0.03789179,0.037385,7.599055,0.03125,0.029304,255,255,0.00393605,0.02952464
sequential,4096,16384,65536,64,65632,5,16384,16292,0.994385,8,4.0226,4.0285,15564,1,15564,0,4.2107,215564,16.0,16,16,1.015677,2,15564,244,0.0156772,0.0138417,0.01775173,0.015677,200000,4246,0.02123,0.02060738,0.02187101,0.021355,7.601675,0.03125,0.02931395,255,255,0.00393567,0.02953185
sequential,4096,16384,65536,64,65632,8,16384,16248,0.991699,8,4.0335,4.0394,15564,1,15564,0,4.2107,215564,16.0,16,16,1.013107,2,15564,204,0.01310717,0.0114367,0.01501793,0.013107,200000,6978,0.03489,0.03409468,0.03570319,0.03517,7.60325,0.03125,0.02931993,255,255,0.00393783,0.02955393
sequential,4096,16384,65536,64,65632,13,16384,16223,0.990173,8,4.0397,4.0456,15564,1,15564,0,4.2107,215564,16.0,16,16,1.01375,2,15564,214,0.01374968,0.01203648,0.01570285,0.01375,200000,11125,0.055625,0.05462903,0.05663804,0.05622,7.60489,0.03125,0.02932617,255,255,0.00393564,0.02954392
sequential,4096,16384,65536,64,65632,21,16384,16228,0.990479,8,4.0385,4.0444,15564,1,15564,0,4.2107,215564,16.0,16,16,1.016191,2,15564,252,0.01619121,0.01432443,0.01829676,0.016191,200000,4245,0.021225,0.02060245,0.02186594,0.021345,7.600675,0.03125,0.02931015,255,255,0.0039346,0.02952013
sequential,4096,16384,65536,64,65632,34,16384,16225,0.990295,8,4.0392,4.0451,15564,1,15564,0,4.2107,215564,16.0,16,16,1.016577,2,15564,258,0.01657672,0.01468682,0.01870519,0.016577,200000,3610,0.01805,0.01747572,0.01864279,0.0181,7.601795,0.03125,0.02931441,255,255,0.00393817,0.02955083
sequential,8192,32768,131072,64,131168,1,32768,32380,0.988159,8,4.0479,4.0509,31129,1,31129,0,4.2106,231129,16.0,16,16,1.016383,2,31129,510,0.01638344,0.01503173,0.01785449,0.016383,200000,6845,0.034225,0.03343712,0.03503078,0.034465,7.60498,0.03125,0.02932651,255,255,0.00393547,0.02954303
sequential,8192,32768,131072,64,131168,2,32768,32343,0.98703,8,4.0526,4.0555,31129,1,31129,0,4.2106,231129,16.0,16,16,1.015548,2,31129,484,0.0155482,0.0142324,0.01698356,0.015548,200000,3695,0.018475,0.01789401,0.01907448,0.018535,7.58553,0.03125,0.02925261,255,255,0.00393655,0.02947657
sequential,8192,32768,131072,64,131168,3,32768,32345,0.987091,8,4.0523,4.0553,31129,1,31129,0,4.2106,231129,16.0,16,16,1.016383,2,31129,510,0.01638344,0.01503173,0.01785449,0.016383,200000,3591,0.017955,0.01738223,0.01854628,0.018055,7.581595,0.03125,0.02923766,255,255,0.00393744,0.02946812
sequential,8192,32768,131072,64,131168,5,32768,32370,0.987854,8,4.0492,4.0521,31129,1,31129,0,4.2106,231129,16.0,16,16,1.016576,2,31129,516,0.01657618,0.01521633,0.01805533,0.016576,200000,3294,0.01647,0.01592142,0.01703715,0.016495,7.605665,0.03125,0.02932911,255,255,0.00393692,0.02955641
sequential,8192,32768,131072,64,131168,8,32768,32239,0.983856,8,4.0656,4.0686,31129,1,31129,0,4.2106,231129,16.0,16,16,1.015355,2,31129,478,0.01535546,0.01404808,0.01678244,0.015355,200000,3531,0.017655,0.01708703,0.0182415,0.01767,7.594455,0.03125,0.02928652,255,255,0.00393623,0.02950839
sequential,8192,32768,131072,64,131168,13,32768,32286,0.985291,8,4.0597,4.0627,31129,1,31129,0,4.2106,231129,16.0,16,16,1.013942,2,31129,434,0.01394198,0.01269815,0.01530576,0.013942,200000,18674,0.09337,0.09210268,0.09465294,0.094495,7.62191,0.03125,0.02939082,255,255,0.00393591,0.02961109
sequential,8192,32768,131072,64,131168,21,32768,32289,0.985382,8,4.0593,4.0623,31129,1,31129,0,4.2106,231129,16.0,16,16,1.015291,2,31129,476,0.01529121,0.01398665,0.01671538,0.015291,200000,3410,0.01705,0.01649184,0.01762671,0.017075,7.606305,0.03125,0.02933154,255,255,0.00393648,0.02955556
sequential,8192,32768,131072,64,131168,34,32768,32293,0.985504,8,4.0588,4.0618,31129,1,31129,0,4.2106,231129,16.0,16,16,1.014135,2,31129,440,0.01413473,0.01288204,0.01550732,0.014135,200000,3605,0.018025,0.01745112,0.0186174,0.01809,7.600705,0.03125,0.02931027,255,255,0.00393653,0.02953451
