# Command: cargo run --release -p slate-kv-sim --bin wa_study_paper --capacity-sweep > docs/porposal/data/wa_study_matched.csv
# Capacity-sensitivity sweep: cap_ref_segs in {16,24,35,48,64,96,128} x u_target {0.5..0.9} x s {0.0,0.6,0.9,1.2} x 4 arms x seeds {1,2,3} = 1680 rows.
# Purpose: separate the utilisation effect from the CAPACITY effect. The original harness varied both together (its cap_segs fell 63->35 as u went 0.5->0.9).
# cap_ref_segs=35 reproduces the original harness's u=0.9 operating point and is where its 1/(1-u) bound violations live.
# Columns identical to wa_study.csv. FILTER degenerate==true BEFORE USE: at cap<=24 (and cap=35 for the 2-head arms) GC starves and WA is meaningless.
# Platform: macOS 26.5.2 / arm64 / 12 cores / 24 GiB. PURE IN-PROCESS GC MODEL - no flash backend (not FileFlash, not SimFlash), not the SLATE engine.
# Model limits: no RS(12,8) parity, no commit markers, no checkpoints, no encryption. rs_parity_factor=(RS_K+RS_M)/RS_K=1.5000 from crates/slate-kv-erasure/src/lib.rs (RS_K=8, RS_M=4, RS_N=12); column wa_steady_with_rs_parity = wa_steady*1.5.
u_target,s,gc_type,seed,capacity_matched,cap_ref_segs,cap_segs,cap_records,net_records,n_keys,live_keys,realized_u,realized_u_net,wa_all,wa_steady,bound_1_over_1_minus_u,bound_ok,bound_excess_pct,bound_net,bound_net_ok,wa_steady_with_rs_parity,degenerate,victim_live_frac,gc_calls,victims,guard_hits,starves
0.50,0.6,single,1,reference,16,16,1024,896,512,512,0.5000,0.5714,1.5666,1.5734,2.0000,true,-21.33,2.3333,true,2.3601,false,0.3625,1221,2442,0,0
0.50,0.6,single,2,reference,16,16,1024,896,512,512,0.5000,0.5714,1.5680,1.5707,2.0000,true,-21.46,2.3333,true,2.3561,false,0.3631,1222,2444,0,0
0.50,0.6,single,3,reference,16,16,1024,896,512,512,0.5000,0.5714,1.5658,1.5693,2.0000,true,-21.53,2.3333,true,2.3540,false,0.3623,1220,2440,0,0
0.50,0.6,hot_cold,1,gross,16,16,1024,832,512,512,0.5000,0.6154,1.5795,1.5785,2.0000,true,-21.08,2.6000,true,2.3677,false,0.3676,1558,2463,0,0
0.50,0.6,hot_cold,2,gross,16,16,1024,832,512,512,0.5000,0.6154,1.5804,1.5817,2.0000,true,-20.92,2.6000,true,2.3725,false,0.3681,1558,2464,0,0
0.50,0.6,hot_cold,3,gross,16,16,1024,832,512,512,0.5000,0.6154,1.5824,1.5867,2.0000,true,-20.66,2.6000,true,2.3801,false,0.3688,1558,2467,0,0
0.50,0.6,hot_cold_net,1,net,16,17,1088,896,512,512,0.4706,0.5714,1.4646,1.4688,1.8889,true,-22.24,2.3333,true,2.2033,false,0.3181,1557,2282,0,0
0.50,0.6,hot_cold_net,2,net,16,17,1088,896,512,512,0.4706,0.5714,1.4706,1.4733,1.8889,true,-22.00,2.3333,true,2.2099,false,0.3208,1557,2292,0,0
0.50,0.6,hot_cold_net,3,net,16,17,1088,896,512,512,0.4706,0.5714,1.4695,1.4710,1.8889,true,-22.12,2.3333,true,2.2065,false,0.3204,1557,2290,0,0
0.50,0.6,hot_cold_extra2,1,none,16,18,1152,960,512,512,0.4444,0.5333,1.3820,1.3865,1.8000,true,-22.97,2.1429,true,2.0798,false,0.2773,1556,2152,0,0
0.50,0.6,hot_cold_extra2,2,none,16,18,1152,960,512,512,0.4444,0.5333,1.3832,1.3855,1.8000,true,-23.03,2.1429,true,2.0782,false,0.2780,1556,2154,0,0
0.50,0.6,hot_cold_extra2,3,none,16,18,1152,960,512,512,0.4444,0.5333,1.3838,1.3852,1.8000,true,-23.04,2.1429,true,2.0778,false,0.2783,1556,2155,0,0
0.60,0.6,single,1,reference,16,16,1024,896,614,614,0.5996,0.6853,2.0556,2.0633,2.4976,true,-17.39,3.1773,true,3.0950,false,0.5143,1283,3207,0,0
0.60,0.6,single,2,reference,16,16,1024,896,614,614,0.5996,0.6853,2.0610,2.0665,2.4976,true,-17.26,3.1773,true,3.0997,false,0.5157,1269,3215,0,0
0.60,0.6,single,3,reference,16,16,1024,896,614,614,0.5996,0.6853,2.0603,2.0657,2.4976,true,-17.29,3.1773,true,3.0986,false,0.5155,1271,3214,0,0
0.60,0.6,hot_cold,1,gross,16,16,1024,832,614,614,0.5996,0.7380,2.0808,2.0839,2.4976,true,-16.56,3.8165,true,3.1258,false,0.5199,1560,3248,0,0
0.60,0.6,hot_cold,2,gross,16,16,1024,832,614,614,0.5996,0.7380,2.0822,2.0907,2.4976,true,-16.29,3.8165,true,3.1361,false,0.5203,1560,3250,0,0
0.60,0.6,hot_cold,3,gross,16,16,1024,832,614,614,0.5996,0.7380,2.0860,2.0917,2.4976,true,-16.25,3.8165,true,3.1376,false,0.5211,1560,3256,0,0
0.60,0.6,hot_cold_net,1,net,16,17,1088,896,614,614,0.5643,0.6853,1.8294,1.8309,2.2954,true,-20.24,3.1773,true,2.7463,false,0.4541,1559,2854,0,0
0.60,0.6,hot_cold_net,2,net,16,17,1088,896,614,614,0.5643,0.6853,1.8369,1.8432,2.2954,true,-19.70,3.1773,true,2.7648,false,0.4562,1559,2866,0,0
0.60,0.6,hot_cold_net,3,net,16,17,1088,896,614,614,0.5643,0.6853,1.8363,1.8472,2.2954,true,-19.52,3.1773,true,2.7709,false,0.4561,1559,2865,0,0
0.60,0.6,hot_cold_extra2,1,none,16,18,1152,960,614,614,0.5330,0.6396,1.6572,1.6604,2.1413,true,-22.46,2.7746,true,2.4906,false,0.3974,1558,2584,0,0
0.60,0.6,hot_cold_extra2,2,none,16,18,1152,960,614,614,0.5330,0.6396,1.6590,1.6616,2.1413,true,-22.40,2.7746,true,2.4925,false,0.3981,1558,2587,0,0
0.60,0.6,hot_cold_extra2,3,none,16,18,1152,960,614,614,0.5330,0.6396,1.6628,1.6655,2.1413,true,-22.22,2.7746,true,2.4983,false,0.3994,1558,2593,0,0
0.70,0.6,single,1,reference,16,16,1024,896,717,717,0.7002,0.8002,3.2480,3.2530,3.3355,true,-2.47,5.0056,true,4.8795,false,0.6925,1341,5072,0,0
0.70,0.6,single,2,reference,16,16,1024,896,717,717,0.7002,0.8002,3.2546,3.2550,3.3355,true,-2.41,5.0056,true,4.8826,false,0.6932,1344,5082,0,0
0.70,0.6,single,3,reference,16,16,1024,896,717,717,0.7002,0.8002,3.2592,3.2678,3.3355,true,-2.03,5.0056,true,4.9018,false,0.6937,1348,5089,0,0
0.70,0.6,hot_cold,1,gross,16,16,1024,832,717,717,0.7002,0.8618,3.3725,3.3836,3.3355,false,1.44,7.2348,true,5.0754,false,0.7038,1561,5267,0,0
0.70,0.6,hot_cold,2,gross,16,16,1024,832,717,717,0.7002,0.8618,3.3679,3.3704,3.3355,false,1.05,7.2348,true,5.0556,false,0.7034,1561,5260,0,0
